text,sentiment
"Great edit, love it!",positive
"Wonderful shot, superb!",positive
Perfectly captured details!,positive
Well composed moment!,positive
"Brilliant job on this one, love it!",positive
Love the colors in this shot!,positive
"Fantastic angle, nicely captured!",positive
"Excellent edit, well executed!",positive
"Superb composition, great job!",positive
"Impressive shot, well framed!",positive
"Great details, nicely done!",positive
"Stunning perspective, beautifully shot!",positive
"Beautiful edit, fantastic work!",positive
"Perfectly timed photo, amazing!",positive
"Well balanced composition, great shot!",positive
Brilliantly captured scene!,positive
Love the contrast here!,positive
"Fantastic moment, beautifully captured!",positive
"Excellent framing, superb!",positive
"Superb edit, well done!",positive
"Impressive colors, nicely captured!",positive
"Great shot, perfect timing!",positive
"Wonderful composition, beautifully done!",positive
Perfectly edited moment!,positive
Well captured atmosphere!,positive
Brilliantly composed shot!,positive
Love the perspective and colors!,positive
"Fantastic lighting, excellent shot!",positive
"Excellent job on this one, love it!",positive
"Superb details, well captured!",positive
"Impressive edit, nicely executed!",positive
"Great composition, fantastic work!",positive
"Stunning shot, perfectly framed!",positive
"Beautifully edited photo, great job!",positive
"Perfectly timed capture, amazing!",positive
"Well framed scene, nicely captured!",positive
Brilliantly edited moment!,positive
Love the composition and colors!,positive
"Fantastic angle, beautifully captured!",positive
"Excellent work, superb!",positive
"Superbly edited shot, love it!",positive
"Impressive perspective, great job!",positive
"Great edit, wonderfully captured!",positive
"Wonderful shot, perfectly done!",positive
"Perfectly composed moment, fantastic!",positive
"Brilliant job on this one, superb!",positive
Love the details in this shot!,positive
"Fantastic lighting, beautifully captured!",positive
"Excellent framing, fantastic!",positive
"Superb edit, nicely done!",positive
"Impressive colors, superb shot!",positive
"Great shot, wonderful composition!",positive
"Stunning shot, beautifully done!",positive
"Beautifully edited moment, superb!",positive
"Well balanced composition, fantastic!",positive
"Brilliantly captured scene, superbly done!",positive
Love the contrast in this shot!,positive
"Fantastic moment, perfectly captured!",positive
"Excellent framing, fantastic job!",positive
"Superb edit, love the vibe!",positive
"Impressive colors, nicely composed!",positive
"Great shot, excellent work!",positive
"Wonderful composition, superbly captured!",positive
"Perfectly edited photo, fantastic!",positive
"Well captured atmosphere, superb!",positive
"Brilliantly composed shot, love it!",positive
Love the perspective and colors here!,positive
"Fantastic lighting, great job!",positive
"Excellent job on this one, beautifully done!",positive
"Superb details, nicely framed!",positive
"Impressive edit, perfectly executed!",positive
"Great composition, fantastic shot!",positive
"Stunning shot, beautifully composed!",positive
"Beautifully edited moment, amazing!",positive
"Perfectly timed capture, superb!",positive
"Brilliantly edited moment, fantastic work!",positive
Love the composition and colors in this shot!,positive
"Fantastic angle, excellent shot!",positive
Perfectly woven content,positive
"Wow, this is stunning!",positive
Absolutely breathtaking!,positive
Captivating shot!,positive
Mesmerizing capture!,positive
This is pure artistry!,positive
Such a captivating moment!,positive
"Speechless, this is incredible!",positive
This photo is beyond words!,positive
Enchanting scene!,positive
Masterfully captured!,positive
Pure perfection!,positive
So much beauty in one frame!,positive
This photo tells a story.,positive
Truly remarkable,positive
Awe-inspiring shot,positive
I'm in awe of this photo,positive
You have a gift for photography,positive
Absolutely mesmerizing,positive
The beauty in this is surreal,positive
This deserves endless applause,positive
Every detail is perfection,positive
This is picture-perfect,positive
You've truly outdone yourself,positive
Exquisite shot,positive
This takes my breath away,positive
Utterly beautiful,positive
Such an elegant composition,positive
This photo is a masterpiece,positive
I'm lost in the beauty of this.,positive
So much depth and emotion,positive
You've captured the essence perfectly,positive
A work of art,positive
This is poetry in visual form.,positive
Absolutely spellbinding,positive
I can't stop staring at this.,positive
The beauty here is overwhelming,positive
What a breathtaking view,positive
Such a magnificent sight,positive
This is absolutely captivating,positive
This photo speaks volumes,positive
Pure magic,positive
You've truly captured the moment,positive
I'm awestruck by this photo,positive
This is what dreams are made of,positive
This photo is simply divine,positive
Incredibly beautiful,positive
You've got an eye for beauty,positive
This photo is a real gem,positive
Such elegance in this shot,positive
Truly exceptional!,positive
aww,positive
looks godamnnn good,positive
sooo pretty like the moon,positive
This photo is like a dream brought to life!,positive
Absolutely bewitching!,positive
A masterpiece in every pixel!,positive
This belongs in a gallery!,positive
"Beyond breathtaking, it's soul-stirring!",positive
Simply mesmerizing!,positive
This photo speaks to my heart!,positive
The epitome of elegance and grace!,positive
A symphony of colors and emotions!,positive
This captures the essence of beauty itself!,positive
A visual feast for the senses!,positive
Pure poetry in pixels!,positive
Astonishingly beautiful!,positive
"A moment frozen in time, yet alive with wonder!",positive
This is where perfection meets photography!,positive
An enchanting glimpse into another world!,positive
I'm enchanted by the sheer magic of this photo!,positive
Exquisite beyond words!,positive
Radiant with ethereal charm!,positive
A breathtaking journey through light and shadow!,positive
"Beyond compare, simply extraordinary!",positive
A work of art that steals the breath!,positive
This photo is like a love letter to the eyes!,positive
Transcendent and captivating!,positive
My heart skips a beat with every glance!,positive
"This photo is like a rare gem, shining brightly!",positive
Time seems to stand still in the presence of such beauty!,positive
I'm lost in the infinite depth of this image!,positive
"Stunning in its simplicity, yet rich in emotion!",positive
Every glance reveals a new layer of beauty!,positive
A testament to the photographer's unparalleled skill!,positive
Resplendent with grace and elegance!,positive
This photo whispers secrets of the universe!,positive
An exquisite dance of light and shadow!,positive
This photo is a treasure trove of wonder!,positive
Enraptured by the sheer brilliance of this composition!,positive
A breathtaking tapestry woven with light!,positive
This photo is a symphony for the eyes!,positive
"Captivatingly beautiful, like a melody for the soul!",positive
This photo is like stepping into a fairy tale!,positive
A visual masterpiece that leaves me in awe!,positive
Transcending beauty captured in a frame!,positive
This photo speaks volumes without saying a word!,positive
An exquisite blend of light and shadow!,positive
My eyes are glued to this stunning composition!,positive
Capturing the essence of wonder and enchantment!,positive
A breathtaking moment frozen in time!,positive
The definition of elegance and sophistication!,positive
This photo is a window into a world of magic!,positive
A symphony of colors dancing harmoniously!,positive
A masterpiece that ignites the imagination!,positive
Exuding pure radiance and grace!,positive
A breathtaking journey through the lens!,positive
"Mesmerizingly beautiful, like a dream!",positive
Every detail is a stroke of genius!,positive
Incredible depth and emotion captured here!,positive
This photo evokes a sense of serenity and wonder!,positive
A true testament to the beauty of nature!,positive
"Captivatingly beautiful, it's impossible to look away!",positive
An artistic vision brought to life!,positive
This photo is a treasure trove of emotions!,positive
An impeccable blend of art and reality!,positive
An awe-inspiring display of creativity and skill!,positive
This photo has a soul that speaks to mine!,positive
"A symphony of light, shadow, and color!",positive
This photo is a masterpiece in motion,positive
Absolutely captivating from every angle,positive
Radiating warmth and tranquility,positive
This photo is like a breath of fresh air for the soul,positive
A stunning visual symphony that resonates deeply,positive
Truly a work of artistry and brilliance,positive
"Elegantly captured, every frame tells a story",positive
This photo is a timeless expression of beauty,positive
An enchanting moment frozen in time,positive
"Breathtakingly beautiful, it's like a dream come true",positive
This photo is a masterpiece of emotion and depth,positive
"Unveiling the beauty of the world, one frame at a time",positive
"A mesmerizing fusion of light, color, and emotion",positive
A captivating glimpse into the photographer's soul,positive
This photo is a masterpiece of light and shadow,positive
"Exquisitely composed, it's a feast for the eyes!",positive
A stunning testament to the power of photography!,positive
This photo is a celebration of life and beauty!,positive
"Absolutely mesmerizing, it's like poetry in motion!",positive
A whisper of beauty from the universe.,positive
Spellbinding and captivating.,positive
An ethereal masterpiece.,positive
A symphony of delicate emotions.,positive
Frozen yet bursting with life.,positive
Exquisitely crafted perfection.,positive
A dance of light and shadow.,positive
Mesmerizing and hidden.,positive
A stunning fusion of reality and imagination.,positive
A doorway to another dimension.,positive
An exquisite tapestry of wonder.,positive
Enchanting and lingering.,positive
"Quietly elegant, speaking volumes.",positive
A breathtaking vista of adventures.,positive
"Imperfectly perfect, capturing raw emotions.",positive
"Captivatingly unique, like a rare gem.",positive
Nostalgic and anticipatory.,positive
A treasure trove of hidden meanings.,positive
"Delightfully unexpected, revealing depth.",positive
A captivating journey of imagination.,positive
Reflective of the soul's shimmering stories.,positive
A stunning testament to perspective.,positive
"Transcendentally beautiful, infinite possibilities.",positive
An enchanting blend of light and shadow.,positive
A celebration shining amidst life's shadows.,positive
"Serene, stretching endlessly.",positive
A breathtaking panorama of boundless beauty.,positive
A journey through time and space.,positive
A mesmerizing kaleidoscope of colors.,positive
"Enthrallingly beautiful, stirring the soul.",positive
A glimpse of serenity amidst chaos.,positive
Whispers of nature's secrets captured.,positive
Mesmerizing poetry in visual form.,positive
Radiant with untold stories and mysteries.,positive
my superstar,positive
What a stunning shot,positive
Absolutely breathtaking,positive
This picture is pure magic,positive
"Wow, just wow",positive
Captivating,positive
My eyes are grateful for this beauty,positive
Incredible scenery,positive
I'm lost in the moment,positive
Speechless... ,positive
Picture-perfect,positive
Mesmerizing view,positive
Such a beautiful capture,positive
A masterpiece,positive
Stunning beyond words,positive
Nature's beauty at its finest,positive
This deserves endless likes,positive
Enchanting,positive
Pure poetry in pixels,positive
I'm in awe,positive
What a sight to behold,positive
Picture perfect moment,positive
Simply breathtaking,positive
A true work of art,positive
My heart skipped a beat,positive
Soaking in the beauty,positive
Spellbinding,positive
Nature's symphony! ,positive
My eyes thank you for this,positive
Absolutely captivating! ,positive
I could stare at this forever,positive
This is everything,positive
Speechlessly beautiful! ,positive
What a magnificent shot,positive
You've captured magic! ,positive
Every detail is perfection! ,positive
A visual treat! ,positive
This belongs in a gallery,positive
Brimming with beauty,positive
I'm in love with this picture! ,positive
Stunning scenery! ,positive
A breathtaking masterpiece! ,positive
I'm lost for words! ,positive
Radiant and remarkable! ,positive
This is art in its purest form ,positive
A feast for the eyes ,positive
Exquisite beyond measure ,positive
Nature's canvas ,positive
Perfection captured ,positive
What a magnificent sight ,positive
You've outdone yourself ,positive
Breath-stealing beauty! ,positive
Stunning simplicity! ,positive
A moment frozen in time! ,positive
My heart sings looking at this,positive
Absolutely delightful! ,positive
Pure bliss in pixels!,positive
This is soul-stirring,positive
Simply divine,positive
A work of art!,positive
This is visual poetry! ,positive
A glimpse of paradise! ,positive
Radiating beauty! ,positive
You've captured the essence of beauty! ,positive
An absolute gem! ,positive
A true masterpiece! ,positive
Absolutely enchanting! ,positive
Perfection in every pixel! ,positive
What a vision! ,positive
This fills my heart with joy! ,positive
Truly breathtaking! ,positive
A dream captured! ,positive
Utterly mesmerizing! ,positive
This is what magic looks like! ,positive
Picture-perfect moment! ,positive
Beauty beyond compare! ,positive
A symphony of colors! ,positive
A breathtaking panorama! ,positive
An artist at work ,positive
Enrapturing ,positive
Every detail is a masterpiece ,positive
A vision of serenity ,positive
This warms my soul ,positive
Absolutely bewitching ,positive
Nature's masterpiece ,positive
Simply exquisite ,positive
My heart skips a beat ,positive
Pure magic captured ,positive
A glimpse of heaven ,positive
Absolutely splendid ,positive
My eyes thank you ,positive
A true visual feast ,positive
Breathtakingly beautiful ,positive
Exquisite in every way ,positive
Absolutely stunning ,positive
This picture speaks volumes ,positive
Bravo ,positive
What a sight for sore eyes ,positive
A moment of pure bliss ,positive
You've got an eye for beauty ,positive
This picture is worth a thousand words ,positive
Pure joy in pixels ,positive
A true masterpiece ,positive
You've captured the magic ,positive
Simply mesmerizing ,positive
This is art in motion ,positive
A visual delight ,positive
My heart swells with happiness! ,positive
A vision of loveliness! ,positive
This brightens my day! ,positive
You've painted a masterpiece! ,positive
Absolutely divine! ,positive
My soul feels nourished! ,positive
This is what happiness looks like! ,positive
A true gem! ,positive
I'm enchanted! ,positive
Beauty captured in a frame,positive
you are an amazing aesthetic creature,positive
Hey there!,positive
"Hi, everyone!",positive
"Hello, lovely people!",positive
"Greetings, friends! ",positive
"Good day, Insta fam!",positive
"Howdy, folk",positive
"Salutations, wonderful souls",positive
"Yo, social media crew",positive
"Hey, hey, hey",positive
"Hello, world",positive
"Welcome, everyone",positive
"Hi there, beautiful souls",positive
"What's up, Insta fam?",positive
"Hey, awesome people",positive
"Good morning, friends",positive
Happy,positive
"Hola, amigos",positive
"Aloha, everyone",positive
"Namaste, lovely souls",positive
"Hey, social media tribe",positive
"Greetings, internet friends",positive
"Hiya, folks",positive
How's everyone doing today?,positive
"Bonjour, mes amis",positive
"Ciao, bella gente",positive
"Shalom, friends",positive
"Hey, amazing individuals",positive
Welcome to the party,positive
"Hi, Insta buddies",positive
"G'day, mates",positive
"Wassup, squad? ",positive
Good vibes only,positive
"Hey, beautiful beings",positive
"Hello, incredible people",positive
Happy [Day of the Week] vibes,positive
"Hola, amigos y amigas",positive
Cheers to a fantastic day,positive
"Hi, wonderful souls",positive
What a great day to connect,positive
"Hey, sunshine",positive
"Rise and shine, everyone",positive
"Hello, lovely humans",positive
Sending smiles your way,positive
"Good evening, friends",positive
Time for some social media fun,positive
"Hello, sunshine",positive
Happy scrolling,positive
"Hi, amazing friends",positive
"Hey, fabulous people",positive
Let's spread positivity,positive
"Hello, wonderful beings",positive
How's your day going so far?,positive
Good vibes and good times,positive
"Hey, fantastic souls",positive
Wishing you a day filled with joy,positive
"Hello, dear ones",positive
"Happy scrolling, friends",positive
"Hi, fellow social media enthusiasts",positive
"Hey, beautiful souls",positive
Hope your day is as amazing as you are,positive
"Greetings, dear friends",positive
Let's make today awesome,positive
"Hi there, fabulous friends",positive
Sending positive vibes your way,positive
"Hello, incredible beings",positive
Time to brighten up your feed,positive
"Hey, fellow humans",positive
Let's make today count,positive
"Hi, social media fam",positive
"Hello, beautiful souls",positive
"Happy [Day of the Week], everyone",positive
Let's make today a masterpiece,positive
"Hi there, wonderful souls",positive
Time for some social media inspiration,positive
"Hello, fabulous folks",positive
Hope your day is as bright as your smile,positive
"Hi, lovely souls",positive
"Hello, amazing individuals",positive
Let's spread some positivity today,positive
"Hello, beautiful beings",positive
Hope you're all doing well,positive
"Hi, wonderful friends",positive
Let's make today amazing,positive
"Happy day, everyone",positive
Let's make today awesome together,positive
"Hello, dear friends",positive
Hope your day is filled with joy and laughter,positive
"Hi, fabulous people",positive
Let's spread some love today,positive
"Hello, amazing souls",positive
"Happy, lovely people!",positive
"Hi, Insta fam",positive
Let's make our day best,positive
Interesting post!,positive
Thanks for sharing.,positive
Cool!,positive
Good to know.,positive
Well done.,positive
Informative.,positive
Appreciate the update.,positive
That's something.,positive
Keep it up.,positive
Impressive.,positive
Thanks for the info.,positive
Simple yet effective.,positive
I see.,positive
Looks good!,positive
Interesting perspective.,positive
Well captured.,positive
Thanks for the share.,positive
Helpful.,positive
Noted.,positive
Well stated.,positive
Insightful.,positive
A good read.,positive
Thanks for the update.,positive
Keep them coming.,positive
Well said.,positive
Quite informative.,positive
Thanks for posting.,positive
Sounds good.,positive
Looks promising.,positive
Appreciate the effort.,positive
Interesting point.,positive
Looks interesting.,positive
Thanks for the insight.,positive
Appreciate the content.,positive
Well articulated.,positive
Looks intriguing.,positive
Thanks for the heads up.,positive
Looks like a plan.,positive
Good stuff!,positive
Thanks for the share!,positive
Good one!,positive
Appreciate the detail.,positive
Thanks for the clarification.,positive
Looks like a good read.,positive
Good work!,positive
Well-explained.,positive
Thanks for the input.,positive
Well spotted.,positive
Looks like fun!,positive
Appreciate the update!,positive
Thanks for the info!,positive
Looks impressive.,positive
Interesting read!,positive
Thanks for the post.,positive
Appreciate the share.,positive
Good job!,positive
Thanks for the tip.,positive
Looks promising!,positive
Appreciate the insight.,positive
Looks good to me.,positive
Well-researched.,positive
Thanks for the contribution.,positive
Interesting perspective!,positive
Thanks for the information.,positive
Looks like a great idea.,positive
Good to see.,positive
Thanks for sharing this with us.,positive
Looks cool!,positive
Appreciate the thought.,positive
Looks like a good plan.,positive
Thanks for the suggestion.,positive
Looks like a great opportunity.,positive
Thanks for sharing your thoughts.,positive
Looks like an interesting read.,positive
Appreciate the update on this.,positive
Looks like a good strategy.,positive
Thanks for the heads-up on this.,positive
Looks intriguing!,positive
Appreciate the effort put into this.,positive
Looks like a solid plan.,positive
Thanks for the feedback.,positive
Looks like an interesting topic.,positive
Appreciate the detail in this.,positive
Thanks for the clarification on this.,positive
Looks like a great initiative.,positive
Appreciate the share!,positive
Looks like a good approach.,positive
Thanks for bringing this to our attention.,positive
Looks like a useful resource.,positive
Appreciate the insight into this.,positive
Thanks for the update on this topic.,positive
Looks like a good read!,positive
Appreciate the thought behind this.,positive
Thanks for sharing your perspective.,positive
Looks like a valuable addition.,positive
Appreciate the effort behind this.,positive
Thanks for providing this information.,positive
Looks like a good solution.,positive
Absolutely fascinating!,positive
Intriguing insights!,positive
"Great work, keep it up!",positive
Thanks for the inspiration.,positive
Lovely content!,positive
Fantastic perspective.,positive
Impressive stuff!,positive
Well presented.,positive
Appreciate your creativity!,positive
Awesome job!,positive
You're doing amazing!,positive
"Thanks for the share, always appreciated.",positive
Captivating content,positive
Well observed.,positive
Brilliant post,positive
Kudos to you,positive
This is gold,positive
Really enjoyed this.,positive
Excellent point,positive
You nailed it,positive
Bravo,positive
Such a delight,positive
You're a star,positive
Thanks for the enlightenment.,positive
Cheers to your efforts,positive
This is top-notch,positive
Incredible content,positive
Spot-on analysis.,positive
You're on fire,positive
So much talent,positive
Much love for this.,positive
Hats off to you,positive
Terrific work,positive
Simply superb,positive
You're a true inspiration.,positive
This is a gem,positive
Way to go,positive
You've got skills,positive
Pure genius,positive
Absolutely stellar,positive
This made my day,positive
Top-quality stuff,positive
Your hard work shows,positive
You're making a difference,positive
This is legendary,positive
Exemplary work,positive
Thanks for the knowledge drop.,positive
Phenomenal job,positive
You're killing it,positive
Remarkable content,positive
Exceptional,positive
Truly outstanding,positive
You're setting the bar high,positive
This is brilliant,positive
Thanks for the brilliance.,positive
You're a game-changer,positive
Spectacular,positive
Genius at work,positive
This is epic,positive
Out of this world,positive
Incredible talent,positive
Thanks for sharing your gifts.,positive
You're unstoppable!,positive
This is pure magic!,positive
Brilliance personified!,positive
You've got the magic touch!,positive
This is extraordinary!,positive
Absolutely phenomenal!,positive
You're a legend!,positive
Keep shining bright!,positive
This is beyond words!,positive
A true work of art!,positive
You've got the Midas touch!,positive
Absolutely brilliant!,positive
You're a true artist!,positive
This is awe-inspiring!,positive
You're a marvel!,positive
Thanks for sharing your brilliance.,positive
You're making waves!,positive
This is absolutely stunning!,positive
You're a force to be reckoned with!,positive
This is mind-blowing!,positive
You're a wizard!,positive
Thanks for being awesome!,positive
You're a true innovator!,positive
This is truly remarkable!,positive
You're changing the game!,positive
This is next level!,positive
You're a visionary!,positive
Thanks for sharing your wisdom.,positive
This is breathtaking,positive
You're a true inspiration,positive
Thanks for being you.,positive
You're a true talent,positive
This is exceptional,positive
You're a creative genius,positive
Thanks for being amazing,positive
You're a true hero,positive
This is pure perfection,positive
You're an absolute rockstar,positive
Thanks for the magic.,positive
You're a true original,positive
This is absolutely incredible,positive
You're a shining star,positive
Thanks for sharing your brilliance with the world.,positive
I hate those fucking cocksuckers.,negative
"Fuck off, you worthless asshole!",negative
"Fuck you, you fucking whore!",negative
"Fuck off, you worthless poofs!",negative
I fucking hope those bastards rot in hell.,negative
"Die, you fucking coonasses!",negative
I fucking hate those assholes more than anything.,negative
I hope those idiots suffer for their sins.,negative
"Damn you, you bloody idiots!",negative
"Damn off, you useless fools!",negative
"Shut the hell up, you useless arsehole!",negative
"Die, you pathetic Paki!",negative
"You're a worthless cowards, go back to your hole!",negative
"You're a worthless cowards, go back to your hole, Matthew!",negative
"You're a worthless cowards, go back to your hole, Ava!",negative
"You're a worthless cowards, go back to your hole, William!",negative
"You're a worthless cowards, go back to your hole, bitch!",negative
I hate [group].,negative
[Group] are [derogatory_term].,negative
We should [action] all [group].,negative
[Group] deserve to be [negative_action].,negative
I wish [group] were never born.,negative
[Group] are inferior to us.,negative
We should [action] every [group] we see.,negative
[Group] should be banned from entering our country.,negative
Let's start a campaign to silence [group] voices.,negative
"[Group] are animals, not humans.",negative
I'd rather see [group] dead than alive.,negative
No mercy for [group].,negative
I fucking hope [group] suffer for their sins.,negative
I wish those fucking wankers were never born.,negative
Those fucking dickheads make me sick to my stomach.,negative
Fuck those fucking assholes and their fucking beliefs.,negative
I fucking wish those assholes would just disappear.,negative
"Die, you fucking Paki!",negative
"Go back to your country, you worthless Paki!",negative
I hope those bloody idiots die in a fire.,negative
"Shut the hell up, you useless asshole!",negative
Damn those damn fools and everything they stand for.,negative
"Die, you useless morons!",negative
"Burn in hell, you worthless fools!",negative
I hope those idiots rot in hell.,negative
"You're a worthless coonass, go back to your hole!",negative
"Fuck off, you pathetic Paki!",negative
I hope those damn wankers suffer for their sins.,negative
"Die, you worthless spics!",negative
"Fuck you, you fucking cowards!",negative
I wish those assholes were never born.,negative
I hope those bloody wankers suffer for their sins.,negative
"Fuck off, you worthless coonass!",negative
I wish those motherfuckers were never born.,negative
I hope those damn losers rot in hell.,negative
"Die, you worthless Paki!",negative
I wish those assholes would all just disappear.,negative
"Die, you pathetic arsehole!",negative
"Die, you worthless Paki, John!",negative
"I hope those bloody wankers suffer for their sins, Sarah!",negative
"Fuck off, you worthless coonass, Michael!",negative
"I wish those motherfuckers were never born, Jessica!",negative
"I hope those damn losers rot in hell, Isabella!",negative
"Fuck you, you fucking cowards, William!",negative
"Die, you pathetic arsehole, Benjamin!",negative
"Fuck off, you worthless coonass, Charlotte!",negative
"I wish those motherfuckers were never born, Liam!",negative
"I hope those damn losers rot in hell, Alexander!",negative
"Fuck you, you fucking cowards, Mia!",negative
"Die, you pathetic arsehole, Emily!",negative
"Fuck off, you worthless coonass, Matthew!",negative
"I wish those motherfuckers were never born, Sophia!",negative
"I hope those damn losers rot in hell, Mia!",negative
"Fuck you, you fucking cowards, Benjamin!",negative
"Die, you worthless bitch!",negative
I hope those bloody bitches suffer for their sins!,negative
"Fuck off, you useless bitch!",negative
We need to rid the world of those damn bitches!,negative
"Shut the hell up, you pathetic bitch!",negative
"I wish those motherfuckers were never born, bitch!",negative
I hope those damn bitches rot in hell!,negative
"Die, you worthless bitch, go back to where you came from!",negative
"Die, you worthless cunt!",negative
I hope those bloody cunts suffer for their sins!,negative
We need to rid the world of those damn cunts!,negative
"You're a worthless cowards, go back to your hole, cunt!",negative
I hope those damn cunts rot in hell!,negative
"Die, you worthless cunt, go back to where you came from!",negative
"You're nothing but a worthless cunt, Sarah!",negative
Those fucking cunts should all be exterminated.,negative
"You are a worthless piece of trash, and the world would be better off without you.",negative
Those fucking [group] are a blight on humanity.,negative
"Go back to your country, you bloody Paki!",negative
I fucking detest those motherfuckers with every fiber of my being.,negative
I fucking wish those cocksuckers would all just disappear.,negative
Those fucking retards deserve nothing but contempt.,negative
Those fucking dickheads are fucking worthless.,negative
I fucking detest those assholes with every fiber of my being.,negative
"Fuck you, you fucking bitches!",negative
"Die, you fucking arseholes!",negative
Those fucking arseholes are a disgrace to society!,negative
I wish those damn imbeciles were never born.,negative
Death to those damn scumbags!,negative
I despise those idiots with every fiber of my being.,negative
I wish those motherfuckers would all just disappear.,negative
"Burn in hell, you bloody bastards!",negative
I detest those assholes with every fiber of my being.,negative
We need to rid the world of those pathetic losers.,negative
Those worthless bitches should be wiped off the face of the earth.,negative
We need to rid the world of those damn twats.,negative
"Burn in hell, you fucking bitches!",negative
"Die, you worthless Paki, go back to where you came from!",negative
"Shut the hell up, you useless cunt!",negative
"We need to rid the world of those damn twats, Emily!",negative
"Shut the hell up, you useless arsehole, David!",negative
